elapsed_s,board_c,ambient_c,target_c,duty_pct,state,stage,session:hold-220
0,,,,,EVENT,Heat & Hold started at 220C
120,101.6,68.1,220.0,100.0,Hold,Hold
121,102.8,68.5,220.0,100.0,Hold,Hold
122,103.2,69.0,220.0,100.0,Hold,Hold
123,104.1,69.7,220.0,100.0,Hold,Hold
124,105.2,70.3,220.0,100.0,Hold,Hold
125,106.2,71.0,220.0,100.0,Hold,Hold
126,107.3,71.6,220.0,100.0,Hold,Hold
127,108.2,72.1,220.0,100.0,Hold,Hold
128,109.1,72.8,220.0,100.0,Hold,Hold
129,109.8,73.3,220.0,100.0,Hold,Hold
130,110.5,73.9,220.0,100.0,Hold,Hold
131,111.4,74.4,220.0,100.0,Hold,Hold
132,112.4,75.0,220.0,100.0,Hold,Hold
133,113.4,75.8,220.0,100.0,Hold,Hold
134,114.1,76.1,220.0,100.0,Hold,Hold
135,114.8,76.6,220.0,100.0,Hold,Hold
136,115.5,77.3,220.0,100.0,Hold,Hold
137,116.4,77.9,220.0,100.0,Hold,Hold
138,117.3,78.6,220.0,100.0,Hold,Hold
139,118.1,79.2,220.0,100.0,Hold,Hold
140,119.1,79.8,220.0,100.0,Hold,Hold
141,119.8,80.2,220.0,100.0,Hold,Hold
142,120.4,80.8,220.0,100.0,Hold,Hold
143,121.2,81.1,220.0,100.0,Hold,Hold
144,121.8,81.6,220.0,100.0,Hold,Hold
145,122.5,82.2,220.0,100.0,Hold,Hold
146,123.5,82.7,220.0,100.0,Hold,Hold
147,124.4,83.4,220.0,100.0,Hold,Hold
148,124.8,84.0,220.0,100.0,Hold,Hold
149,125.4,84.7,220.0,100.0,Hold,Hold
150,126.2,85.2,220.0,100.0,Hold,Hold
151,126.9,85.6,220.0,100.0,Hold,Hold
152,127.7,86.4,220.0,100.0,Hold,Hold
153,128.4,87.1,220.0,100.0,Hold,Hold
154,128.8,87.7,220.0,100.0,Hold,Hold
155,129.7,88.1,220.0,100.0,Hold,Hold
156,130.4,88.6,220.0,100.0,Hold,Hold
157,130.9,89.3,220.0,100.0,Hold,Hold
158,131.6,89.9,220.0,100.0,Hold,Hold
159,132.4,90.5,220.0,100.0,Hold,Hold
160,133.0,91.1,220.0,100.0,Hold,Hold
161,133.9,91.5,220.0,100.0,Hold,Hold
162,134.7,92.1,220.0,100.0,Hold,Hold
163,135.4,92.4,220.0,100.0,Hold,Hold
164,136.4,92.9,220.0,100.0,Hold,Hold
165,137.1,93.8,220.0,100.0,Hold,Hold
166,137.8,94.2,220.0,100.0,Hold,Hold
167,138.2,94.5,220.0,100.0,Hold,Hold
168,139.0,95.2,220.0,100.0,Hold,Hold
169,139.8,95.9,220.0,100.0,Hold,Hold
170,140.4,96.6,220.0,100.0,Hold,Hold
171,141.0,97.2,220.0,100.0,Hold,Hold
172,141.7,97.5,220.0,100.0,Hold,Hold
173,142.4,97.9,220.0,100.0,Hold,Hold
174,143.0,98.4,220.0,100.0,Hold,Hold
175,143.4,99.1,220.0,100.0,Hold,Hold
176,143.6,99.6,220.0,100.0,Hold,Hold
177,144.2,100.2,220.0,100.0,Hold,Hold
178,144.8,100.7,220.0,100.0,Hold,Hold
179,145.3,101.2,220.0,100.0,Hold,Hold
180,146.2,101.9,220.0,100.0,Hold,Hold
181,146.9,102.4,220.0,100.0,Hold,Hold
182,147.5,102.8,220.0,100.0,Hold,Hold
183,148.4,103.4,220.0,100.0,Hold,Hold
184,149.0,103.8,220.0,100.0,Hold,Hold
185,149.6,104.3,220.0,100.0,Hold,Hold
186,150.2,104.9,220.0,100.0,Hold,Hold
187,150.7,105.6,220.0,100.0,Hold,Hold
188,151.4,106.1,220.0,100.0,Hold,Hold
189,152.0,106.5,220.0,100.0,Hold,Hold
190,152.4,106.9,220.0,100.0,Hold,Hold
191,152.8,107.4,220.0,100.0,Hold,Hold
192,153.2,107.9,220.0,100.0,Hold,Hold
193,153.8,108.4,220.0,100.0,Hold,Hold
194,154.2,108.9,220.0,100.0,Hold,Hold
195,154.8,109.6,220.0,100.0,Hold,Hold
196,155.4,110.1,220.0,100.0,Hold,Hold
197,155.8,110.4,220.0,100.0,Hold,Hold
198,156.3,110.9,220.0,100.0,Hold,Hold
199,156.9,111.2,220.0,100.0,Hold,Hold
200,157.6,111.9,220.0,100.0,Hold,Hold
201,158.2,112.7,220.0,100.0,Hold,Hold
202,158.8,113.1,220.0,100.0,Hold,Hold
203,159.6,113.6,220.0,100.0,Hold,Hold
204,160.1,114.1,220.0,100.0,Hold,Hold
205,160.7,114.4,220.0,100.0,Hold,Hold
206,161.3,114.8,220.0,100.0,Hold,Hold
207,161.9,115.4,220.0,100.0,Hold,Hold
208,162.3,115.8,220.0,100.0,Hold,Hold
209,162.6,116.1,220.0,100.0,Hold,Hold
210,163.2,116.6,220.0,100.0,Hold,Hold
211,163.8,117.2,220.0,100.0,Hold,Hold
212,164.2,117.4,220.0,100.0,Hold,Hold
213,164.6,117.7,220.0,100.0,Hold,Hold
214,165.2,118.6,220.0,100.0,Hold,Hold
215,165.6,119.2,220.0,100.0,Hold,Hold
216,165.4,119.6,220.0,100.0,Hold,Hold
217,165.8,119.9,220.0,100.0,Hold,Hold
218,166.2,120.3,220.0,100.0,Hold,Hold
219,166.6,121.1,220.0,100.0,Hold,Hold
220,167.1,121.6,220.0,100.0,Hold,Hold
221,167.9,121.8,220.0,100.0,Hold,Hold
222,168.8,122.3,220.0,100.0,Hold,Hold
223,169.1,122.7,220.0,100.0,Hold,Hold
224,169.2,123.1,220.0,100.0,Hold,Hold
225,169.7,123.8,220.0,100.0,Hold,Hold
226,169.8,124.2,220.0,100.0,Hold,Hold
227,170.1,124.6,220.0,100.0,Hold,Hold
228,170.7,125.0,220.0,100.0,Hold,Hold
229,171.0,125.6,220.0,100.0,Hold,Hold
230,171.4,126.0,220.0,100.0,Hold,Hold
231,171.8,126.2,220.0,100.0,Hold,Hold
232,172.1,126.8,220.0,100.0,Hold,Hold
233,172.8,127.2,220.0,100.0,Hold,Hold
234,173.4,127.3,220.0,100.0,Hold,Hold
235,173.7,127.6,220.0,100.0,Hold,Hold
236,174.1,128.4,220.0,100.0,Hold,Hold
237,174.6,128.9,220.0,100.0,Hold,Hold
238,174.8,129.3,220.0,100.0,Hold,Hold
239,175.3,129.9,220.0,100.0,Hold,Hold
240,176.1,130.2,220.0,100.0,Hold,Hold
241,176.4,130.8,220.0,100.0,Hold,Hold
242,176.7,131.0,220.0,100.0,Hold,Hold
243,176.6,131.3,220.0,100.0,Hold,Hold
244,176.5,131.9,220.0,100.0,Hold,Hold
245,176.8,132.2,220.0,100.0,Hold,Hold
246,177.1,132.8,220.0,100.0,Hold,Hold
247,177.6,133.4,220.0,100.0,Hold,Hold
248,178.0,133.6,220.0,100.0,Hold,Hold
249,178.0,133.8,220.0,100.0,Hold,Hold
250,178.3,134.2,220.0,100.0,Hold,Hold
251,179.1,134.7,220.0,100.0,Hold,Hold
252,179.4,135.1,220.0,100.0,Hold,Hold
253,179.5,135.6,220.0,100.0,Hold,Hold
254,180.1,136.0,220.0,100.0,Hold,Hold
255,180.8,136.3,220.0,100.0,Hold,Hold
256,181.1,136.7,220.0,100.0,Hold,Hold
257,181.2,137.2,220.0,100.0,Hold,Hold
258,181.6,137.7,220.0,100.0,Hold,Hold
259,182.1,137.8,220.0,100.0,Hold,Hold
260,182.5,138.1,220.0,100.0,Hold,Hold
261,182.9,138.6,220.0,100.0,Hold,Hold
262,183.2,139.0,220.0,100.0,Hold,Hold
263,183.2,139.6,220.0,100.0,Hold,Hold
264,183.4,140.1,220.0,100.0,Hold,Hold
265,183.8,140.5,220.0,100.0,Hold,Hold
266,184.2,140.9,220.0,100.0,Hold,Hold
267,184.4,141.2,220.0,100.0,Hold,Hold
268,184.7,141.5,220.0,100.0,Hold,Hold
269,185.1,141.8,220.0,100.0,Hold,Hold
